State,1,2,3,4,5,,,,,,,,,,
AL,Birmingham,Montgomery,Mobile,Huntsville,Tuscaloosa,,,,,,,,,,
AK,Anchorage,Fairbanks,Juneau,Sitka,Ketchikan,,,,,,,,,,
AZ,Phoenix,Tucson,Mesa,Chandler,Glendale,,,,,,,,,,
AR,Little Rock,Fort Smith,Fayetteville,Springdale,Jonesboro,,,,,,,,,,
CA,Los Angeles,San Diego,San Jose,San Francisco,Fresno,,,,,,,,,,
CO,Denver,Colorado Springs,Aurora,Fort Collins,Lakewood,,,,,,,,,,
CT,Bridgeport,New Haven,Stamford,Hartford,Waterbury,,,,,,,,,,
DE,Wilmington,Dover,Newark,Middletown,Smyrna,,,,,,,,,,
FL,Jacksonville,Miami,Tampa,Orlando,St. Petersburg,,,,,,,,,,
GA,Atlanta,Columbus,Augusta,Macon,Savannah,,,,,,,,,,
HI,Honolulu,Hilo1,Kailua1,Kapolei1,Kaneohe1,,,,,,,,,,
ID,Boise,Meridian,Nampa,Idaho Falls,Pocatello,,,,,,,,,,
IL,Chicago,Aurora,Rockford,Joliet,Naperville,Peoria,Champaign,Schaumburg,Evanston,Belleville,Arlington Heights,Elgin,Downers Grove,Des Plaines,Skokie
IN,Indianapolis,Fort Wayne,Evansville,South Bend,Carmel,Bloomington,Terre Haute,West Lafayette,Gary,Muncie,Elkhart,Michigan City,Valparaiso,Fishers,Kokomo
IA,Des Moines,Cedar Rapids,Davenport,Sioux City,Waterloo,Iowa City,Ames,Dubuque,West Des Moines,Council Bluffs,Ankeny,Cedar Falls,Urbandale,Mason City,Fort Dodge 
KS,Wichita,Overland Park,Kansas City,Olathe,Topeka,Lawrence,Lenexa,Salina,Shawnee,Hutchinson,Leawood,Hays,Leavenworth,Dodge City,Emporia
KY,Louisville,Lexington,Bowling Green,Owensboro,Covington,Frankfort,Paducah,Elizabethtown,Bardstown,Hopkinsville,Nicholasville,Fort Knox,Erlanger,Sheperdsville,Corbin
LA,New Orleans,Baton Rouge,Shreveport,Lafayette,Lake Charles,,,,,,,,,,
ME,Portland,Lewiston,Bangor,South Portland,Auburn,,,,,,,,,,
MD,Baltimore,Frederick,Gaithersburg,Rockville,Bowie,,,,,,,,,,
MA,Boston,Worcester,Springfield,Lowell,Cambridge,,,,,,,,,,
MI,Detroit,Grand Rapids,Warren,Sterling Heights,Ann Arbor,Lansing,Flint,Kalamazoo,Traverse City,Dearborn,Saginaw ,Livonia,Muskegon,Southfield,Royal Oak
MN,Minneapolis,Saint Paul,Rochester,Bloomington,Duluth,St. Cloud,Minnetonka,Eden Prairie ,Mankato,Eagan,Edina,Bemidji,Burnsville,Maple Grove,Brainerd
MS,Jackson,Gulfport,Southaven,Hattiesburg,Biloxi,,,,,,,,,,
MO,Kansas City,Saint Louis,Springfield,Independence,Columbia,Jefferson City,Branson,Saint Charles,Joplin,Cape Girardeau,Saint Joseph,Lee's Summit,O'Fallon,Saint Peters,Florissant
MT,Billings,Missoula,Great Falls,Bozeman,Butte,,,,,,,,,,
NE,Omaha,Lincoln,Bellevue,Grand Island,Kearney,North Platte,Papillion,Norfolk,Hastings,Fremont,Scottsbluff,Nebraska City,Ogallala,Plattsmouth,McCook
NV,Las Vegas,Henderson,Reno,North Las Vegas,Sparks,,,,,,,,,,
NH,Manchester,Nashua,Concord,Derry,Rochester,,,,,,,,,,
NJ,Newark,Jersey City,Paterson,Elizabeth,Clifton,,,,,,,,,,
NM,Albuquerque,Las Cruces,Rio Rancho,Santa Fe,Roswell,,,,,,,,,,
NY,New York City,Buffalo,Rochester,Yonkers,Syracuse,,,,,,,,,,
NC,Charlotte,Raleigh,Greensboro,Durham,Winston-Salem,,,,,,,,,,
ND,Fargo,Bismarck,Grand Forks,Minot,West Fargo,Williston,Dickinson,Mandan,Jamestown,Devils Lake,Watford City,Medora,Bottineau,New Town,Casselton
OH,Columbus,Cleveland,Cincinnati,Toledo,Akron,Dayton,Youngstown,Westerville,Kent,Chillicothe,Elyria,Middletown,Hilliard,Massillon,Zanesville
OK,Oklahoma City,Tulsa,Norman,Broken Arrow,Lawton,,,,,,,,,,
OR,Portland,Salem,Eugene,Gresham,Hillsboro,,,,,,,,,,
PA,Philadelphia,Pittsburgh,Allentown,Erie,Reading,,,,,,,,,,
RI,Providence,Warwick,Cranston,Pawtucket,East Providence,,,,,,,,,,
SC,Columbia,Charleston,North Charleston,Mount Pleasant,Rock Hill,,,,,,,,,,
SD,Sioux Falls,Rapid City,Aberdeen,Brookings,Watertown,Pierre,Spearfish,Sturgis,Deadwood,Yankton,Mitchell,Vermillion,Hot Springs,Bell Fourche,Chamberlain
TN,Memphis,Nashville,Knoxville,Chattanooga,Clarksville,,,,,,,,,,
TX,Houston,San Antonio,Dallas,Austin,Fort Worth,,,,,,,,,,
UT,Salt Lake City,West Valley City,Provo,West Jordan,Orem,,,,,,,,,,
VT,Burlington,South Burlington,Rutland,Essex Junction,Barre,,,,,,,,,,
VA,Virginia Beach,Norfolk,Chesapeake,Richmond,Newport News,,,,,,,,,,
WA,Seattle,Spokane,Tacoma,Vancouver,Bellevue,,,,,,,,,,
WV,Charleston,Huntington,Morgantown,Parkersburg,Wheeling,,,,,,,,,,
WI,Milwaukee,Madison,Green Bay,Kenosha,Racine,Appleton,Wisconsin Dells,Eau Claire,Waukesha,La Crosse,Racine,Oshkosh,Wausau,Fond du Lac,Janesville
WY,Cheyenne,Casper,Laramie,Gillette,Rock Springs,,,,,,,,,,